苹果黑星病; 使用含有嘧菌酯的杀菌剂。
蓝紫莓病害; 使用针对性的杀菌剂，保持良好的田间卫生。
蓝紫莓健康; 保持适当的栽培条件和良好的田间卫生。
柠檬病害; 使用针对性的杀菌剂或杀虫剂，视具体病虫害而定。
柠檬健康; 保持适当的栽培条件和良好的田间卫生。
芒果病害; 使用针对性的杀菌剂，保持树冠通风透光。
芒果健康; 保持适当的栽培条件和良好的田间卫生。
桃细菌性斑点; 使用含有铜或嘧菌酯的杀菌剂。
桃健康; 保持适当的栽培条件和良好的田间卫生。
灯笼椒细菌性斑点; 使用含有铜的杀菌剂或抗生素类药剂。
灯笼椒健康; 保持良好的栽培管理和田间卫生。
石榴病害; 使用适合的杀菌剂，注意树冠通风和透光。
石榴健康; 保持适当的栽培条件和良好的田间卫生。
马铃薯早疫病; 使用含有嘧菌酯或三唑类杀菌剂。
马铃薯健康; 保持适当的栽培条件和良好的田间卫生。
马铃薯晚疫病; 使用含有金霉素或嘧菌酯的杀菌剂。
水稻褐斑病; 使用含有嘧菌酯或三唑类杀菌剂。
水稻健康; 保持适当的栽培条件和良好的田间卫生。
水稻飞虱; 使用杀虫剂控制飞虱，如含有吡虫啉的产品。
水稻稻瘟病; 使用含有嘧菌酯或三唑类杀菌剂。
水稻颈部瘟病; 使用针对性的杀菌剂，及时清除病株。
大豆细菌性枯萎病; 采用健康种子，轮作，及时清除病株。
大豆毛虫; 使用杀虫剂进行控制，如含有吡虫啉的产品。
大豆美洲斑潜虫; 使用杀虫剂进行控制，注意田间卫生。
大豆霜霉病; 使用含有三唑类或多菌灵的杀菌剂。
大豆健康; 保持适当的栽培条件和良好的田间卫生。
大豆花叶病毒; 使用病毒无害的种植材料，控制蚜虫和其他传播媒介。
大豆白粉病; 使用含有三唑类的杀菌剂。
大豆锈病; 使用含有三唑类或嘧菌酯的杀菌剂。
大豆南方枯萎病; 采用健康种子和轮作策略，使用适当的杀菌剂。
草莓健康; 保持适当的栽培条件和良好的田间卫生。
草莓叶焦病; 使用含有嘧菌酯或三唑类杀菌剂。
甘蔗细菌性枯萎病; 使用适当的抗生素类药剂，如链霉素。
甘蔗健康; 保持适当的栽培条件和良好的田间卫生。
甘蔗赤腐病; 使用针对性的杀菌剂，注意田间卫生。
甘蔗红条病; 保持适当的田间管理，使用适当的杀菌剂。
甘蔗锈病; 使用含有嘧菌酯或三唑类杀菌剂。
茶树藻类叶病; 使用针对性的杀菌剂，保持良好的树冠通风。
茶树炭疽病; 使用含有嘧菌酯或多菌灵的杀菌剂。
茶树鸟眼斑病; 使用含有嘧菌酯或三唑类杀菌剂。
茶树褐斑病; 使用适当的杀菌剂进行控制。
茶树健康; 保持适当的栽培条件和良好的田间卫生。
茶树红叶斑病; 使用含有三唑类的杀菌剂。
番茄细菌性斑点; 使用含有铜或嘧菌酯的杀菌剂。
番茄早疫病; 使用含有嘧菌酯的杀菌剂。
番茄健康; 保持适当的栽培条件和良好的田间卫生。
番茄晚疫病; 使用含有金霉素或嘧菌酯的杀菌剂。
番茄叶霉病; 使用含有三唑类的杀菌剂。
番茄花叶病毒; 使用病毒无害的种植材料，控制蚜虫和其他传播媒介。
番茄斑点病; 使用含有嘧菌酯或三唑类杀菌剂。
番茄蜘蛛螨（两点蜘蛛螨）; 使用杀螨剂，如含有氟氯氰菊酯的产品。
番茄靶斑病; 使用含有嘧菌酯的杀菌剂。
番茄黄化曲叶病毒; 使用抗病毒品种，控制蚜虫和其他传播媒介。
小麦褐锈病; 使用含有三唑类或嘧菌酯的杀菌剂。
小麦健康; 保持适当的栽培条件和良好的田间卫生。
小麦斑点病; 使用含有三唑类的杀菌剂。
小麦黄锈病; 使用含有三唑类或嘧菌酯的杀菌剂。
